[Date: 27.04.2021 time: 06:01:15] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 08:04:37] | Player: 76561198223714820 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 08:05:05] | Player: 76561198223714820 Deposited 903 on own account.
[Date: 27.04.2021 time: 08:23:18] | Player: 76561198037023350 Deposited 11216 on own account.
[Date: 27.04.2021 time: 08:31:44] | Player: 76561198037023350 Deposited 21255 on own account.
[Date: 27.04.2021 time: 08:32:00] | Player: 76561198037023350 withdrawed 10000 from own account.
[Date: 27.04.2021 time: 08:32:53] | Player: 76561198037023350 Deposited 2500 on own account.
[Date: 27.04.2021 time: 08:34:48] | Player: 76561198037023350 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 08:35:15] | Player: 76561198037023350 Deposited 5000 on own account.
[Date: 27.04.2021 time: 08:48:06] | Player: 76561198223714820 Deposited 12400 on own account.
[Date: 27.04.2021 time: 09:20:53] | Player: 76561199076812837 withdrawed 22340 from own account.
[Date: 27.04.2021 time: 09:21:06] | Player: 76561199076812837 Deposited 44680 on own account.
[Date: 27.04.2021 time: 09:37:52] | Player: 76561199076812837 withdrawed 20000 from own account.
[Date: 27.04.2021 time: 09:44:24] | Player: 76561199076812837 Deposited 3725 on own account.
